project_id,project_name,state,district,constituency,category,sanctioned_amount,released_amount,expenditure,financial_utilisation,physical_progress,start_date,expected_completion,actual_completion,planned_duration,elapsed_months,status,location,schedule_score,financial_progress_score,peer_outlier_score
MPLADS-GJ-002,Development of Public Garden,Gujarat,Surat,Surat City,Parks & Gardens,1800000,1500000.0,1080000,60.0,30.0,2023-05-01,2024-10-31,,18.0,16.0,Ongoing,,,,
MPLADS-MP-001,Construction of Check Dam,Madhya Pradesh,Bhopal,Bhopal,Water Conservation,3000000,2500000.0,2250000,75.0,65.0,2022-07-01,2024-06-30,,24.0,26.0,Ongoing,,,,
MPLADS-MP-002,Rural Road Improvement,Madhya Pradesh,Indore,Indore City,Roads & Paths,2500000,2500000.0,2450000,98.0,97.0,2023-04-01,2024-03-31,2024-04-05,12.0,12.0,Completed,,,,
MPLADS-HR-001,Construction of Community Toilet Complex,Haryana,Faridabad,Faridabad,Sanitation & Drainage,1200000,1000000.0,720000,60.0,40.0,2023-06-01,2024-11-30,,18.0,15.0,Ongoing,,,,
MPLADS-HR-002,Installation of CCTV Surveillance,Haryana,Gurgaon,Gurgaon,Security Infrastructure,900000,900000.0,870000,96.7,95.0,2024-01-01,2024-12-31,,12.0,9.0,Ongoing,,,,
MPLADS-PB-001,Renovation of Village Panchayat Bhawan,Punjab,Amritsar,Amritsar,Community Infrastructure,1000000,1000000.0,980000,98.0,98.0,2023-11-01,2024-10-31,2024-10-28,12.0,11.0,Completed,,,,
MPLADS-OR-001,Construction of Village Road,Odisha,Bhubaneswar,Bhubaneswar,Roads & Paths,2200000,2000000.0,1400000,63.6,35.0,2022-12-01,2024-11-30,,24.0,21.0,Ongoing,,,,
MPLADS-OR-002,Development of Drinking Water Facility,Odisha,Cuttack,Cuttack,Drinking Water,1600000,1400000.0,1120000,70.0,48.0,2023-03-01,2024-08-31,,18.0,18.0,Ongoing,,,,
MPLADS-AP-001,Construction of Multi-Purpose Hall,Andhra Pradesh,Guntur,Guntur,Community Infrastructure,3500000,3000000.0,2700000,77.1,55.0,2022-08-01,2024-07-31,,24.0,25.0,Ongoing,,,,
MPLADS-TS-001,Improvement of Minor Irrigation,Telangana,Hyderabad,Secunderabad,Water Conservation,2800000,2800000.0,2730000,97.5,97.0,2023-10-01,2024-09-30,2024-10-01,12.0,12.0,Completed,,,,
MPLADS-RJ-003,Construction of Water Tank,Rajasthan,Jaipur,Jaipur Rural,Drinking Water,2000000,1600000.0,1440000,72.0,55.0,2023-02-01,2024-07-31,,18.0,19.0,Ongoing,,,,
MPLADS-UP-004,Strengthening of Canal Bank,Uttar Pradesh,Agra,Agra,Water Conservation,4500000,3000000.0,3300000,73.3,38.0,2022-01-01,2024-12-31,,36.0,32.0,Ongoing,,,,
MPLADS-MH-004,Construction of Foot Over Bridge,Maharashtra,Thane,Thane,Infrastructure,7000000,6000000.0,5600000,80.0,45.0,2021-06-01,2023-05-31,,24.0,39.0,Ongoing,,,,
MPLADS-KA-003,Renovation of Market Complex,Karnataka,Mysuru,Mysuru,Community Infrastructure,2500000,2000000.0,1600000,64.0,38.0,2023-01-01,2024-12-31,,24.0,20.0,Ongoing,,,,
MPLADS-TN-003,Construction of Library Building,Tamil Nadu,Madurai,Madurai,Education,1800000,1800000.0,1764000,98.0,98.0,2023-07-01,2024-06-30,2024-07-02,12.0,12.0,Completed,,,,
MPLADS-RISK-0050,Test Project 0050,Odisha,Test District,,Test Category,1000000,,500000,,,,,,,,Ongoing,,75.0,95.0,90.0
